FlightID,Airline,FlightNumber,Origin,Destination,ScheduledDeparture,ActualDeparture,ScheduledArrival,ActualArrival,DelayMinutes,DelayReason,Cancelled,Diverted,AircraftType,TailNumber,Distance
799087,Delta,5562,ATL,JFK,2024-09-01 02:41,2024-09-01 02:52,2024-09-01 06:41,2024-09-01 06:50,9,Air Traffic Control,False,False,Airbus A320,N30382,770
1241186,Delta,7664,ORD,BOS,2024-09-01 23:26,2024-09-01 23:41,2024-09-02 02:26,2024-09-02 02:52,26,Maintenance,True,True,Airbus A320,N53174,1737
529903,Delta,9563,DFW,SEA,2024-09-01 18:59,2024-09-01 19:17,2024-09-01 23:59,2024-09-01 23:50,-9,,True,False,Boeing 737,N38352,837
1350068,Delta,9344,JFK,BOS,2024-09-01 05:31,2024-09-01 05:34,2024-09-01 07:31,2024-09-01 07:22,-9,,False,False,Boeing 737,N21239,2490
895329,Delta,1668,ORD,MIA,2024-09-01 23:18,2024-09-01 23:42,2024-09-02 00:18,2024-09-02 00:24,6,Maintenance,False,False,Boeing 737,N47683,566
281761,Delta,2651,LAX,BOS,2024-09-01 10:46,2024-09-01 11:13,2024-09-01 14:46,2024-09-01 14:38,-8,,False,False,Airbus A320,N14683,235
1734077,Delta,3739,ATL,MIA,2024-09-01 21:17,2024-09-01 21:35,2024-09-01 22:17,2024-09-01 22:12,-5,,True,False,Boeing 737,N79940,2119
1292124,Delta,9260,DFW,MIA,2024-09-01 11:09,2024-09-01 11:11,2024-09-01 15:09,2024-09-01 15:15,6,Maintenance,True,False,Airbus A320,N56306,2003
332880,Delta,9614,JFK,BOS,2024-09-01 17:04,2024-09-01 17:15,2024-09-01 18:04,2024-09-01 18:09,5,Maintenance,True,True,Boeing 777,N13028,463
1126634,Delta,7893,ATL,SFO,2024-09-01 17:09,2024-09-01 17:26,2024-09-01 22:09,2024-09-01 22:22,13,Maintenance,False,True,Airbus A320,N39284,717
1702711,Delta,261,LAX,BOS,2024-09-01 04:44,2024-09-01 04:53,2024-09-01 05:44,2024-09-01 06:02,18,Maintenance,True,False,Boeing 777,N27287,2505
290705,Delta,2114,ATL,BOS,2024-09-01 16:30,2024-09-01 16:45,2024-09-01 21:30,2024-09-01 21:53,23,Weather,True,False,Airbus A320,N92003,2023
975403,Delta,2019,ATL,MIA,2024-09-01 14:11,2024-09-01 14:36,2024-09-01 17:11,2024-09-01 17:03,-8,,True,True,Boeing 737,N67185,1499
1209968,Delta,9624,DFW,SEA,2024-09-01 13:46,2024-09-01 14:06,2024-09-01 17:46,2024-09-01 18:00,14,Maintenance,False,False,Airbus A320,N38064,240
550121,Delta,8229,ATL,SFO,2024-09-01 02:12,2024-09-01 02:35,2024-09-01 04:12,2024-09-01 04:40,28,Maintenance,False,True,Boeing 737,N48069,1730
1612577,Delta,8795,DFW,SFO,2024-09-01 13:59,2024-09-01 14:27,2024-09-01 16:59,2024-09-01 17:17,18,Weather,False,False,Boeing 737,N31405,2427
1685469,Delta,6445,JFK,BOS,2024-09-01 02:54,2024-09-01 03:06,2024-09-01 06:54,2024-09-01 07:15,21,Air Traffic Control,True,False,Boeing 737,N36853,346
771090,Delta,5618,JFK,SEA,2024-09-01 05:00,2024-09-01 05:28,2024-09-01 07:00,2024-09-01 07:03,3,Weather,False,True,Boeing 777,N34355,780
1384381,Delta,3456,ATL,JFK,2024-09-01 11:11,2024-09-01 11:30,2024-09-01 14:11,2024-09-01 14:14,3,Weather,True,False,Boeing 777,N98778,1528
985889,Delta,3234,JFK,SFO,2024-09-01 14:43,2024-09-01 14:53,2024-09-01 15:43,2024-09-01 15:55,12,Maintenance,True,False,Boeing 737,N88695,923
166405,Delta,4423,ATL,BOS,2024-09-01 07:26,2024-09-01 07:33,2024-09-01 08:26,2024-09-01 08:30,4,Weather,True,True,Airbus A320,N63676,1500
1586990,Delta,1070,ORD,SFO,2024-09-01 13:17,2024-09-01 13:23,2024-09-01 17:17,2024-09-01 17:45,28,Weather,False,False,Boeing 777,N95552,1537
799269,Delta,1630,DFW,SEA,2024-09-01 11:48,2024-09-01 11:57,2024-09-01 12:48,2024-09-01 13:08,20,Maintenance,True,False,Airbus A320,N26746,1833
1035710,Delta,4677,DFW,SEA,2024-09-01 15:50,2024-09-01 16:03,2024-09-01 19:50,2024-09-01 19:50,0,,False,False,Airbus A320,N16313,980
1089071,Delta,8347,JFK,JFK,2024-09-01 06:19,2024-09-01 06:49,2024-09-01 10:19,2024-09-01 10:21,2,Air Traffic Control,False,False,Boeing 777,N72826,2338
1472740,Delta,3846,JFK,SEA,2024-09-01 10:13,2024-09-01 10:42,2024-09-01 14:13,2024-09-01 14:15,2,Air Traffic Control,True,False,Boeing 737,N82835,1335
744393,Delta,3098,ATL,SEA,2024-09-01 01:29,2024-09-01 01:33,2024-09-01 07:29,2024-09-01 07:35,6,Air Traffic Control,False,True,Boeing 737,N58556,1194
1103487,Delta,7914,DFW,SFO,2024-09-01 14:01,2024-09-01 14:02,2024-09-01 15:01,2024-09-01 15:26,25,Weather,False,False,Boeing 777,N51013,746
1516783,Delta,5370,DFW,SEA,2024-09-01 20:53,2024-09-01 21:05,2024-09-02 00:53,2024-09-02 00:58,5,Weather,False,False,Airbus A320,N97590,2864
191760,Delta,6042,ORD,BOS,2024-09-01 08:59,2024-09-01 09:16,2024-09-01 14:59,2024-09-01 14:49,-10,,False,False,Boeing 737,N61742,600
944670,Delta,9759,ATL,SFO,2024-09-01 11:17,2024-09-01 11:42,2024-09-01 13:17,2024-09-01 13:19,2,Weather,False,False,Boeing 737,N22114,1024
125278,Delta,7188,ATL,MIA,2024-09-01 03:36,2024-09-01 03:45,2024-09-01 07:36,2024-09-01 08:05,29,Weather,True,False,Airbus A320,N68007,1187
1160664,Delta,3722,ORD,MIA,2024-09-01 03:48,2024-09-01 04:18,2024-09-01 06:48,2024-09-01 06:47,-1,,False,False,Boeing 737,N75655,1061
864707,Delta,8878,ORD,MIA,2024-09-01 05:05,2024-09-01 05:33,2024-09-01 06:05,2024-09-01 06:22,17,Maintenance,False,True,Boeing 737,N45244,2294
802242,Delta,1408,ORD,SFO,2024-09-01 10:59,2024-09-01 11:07,2024-09-01 15:59,2024-09-01 15:56,-3,,False,False,Boeing 777,N94146,522
543972,Delta,2393,DFW,BOS,2024-09-01 12:58,2024-09-01 13:18,2024-09-01 16:58,2024-09-01 17:19,21,Air Traffic Control,False,True,Boeing 777,N91711,1521
1322377,Delta,9703,ATL,BOS,2024-09-01 08:28,2024-09-01 08:49,2024-09-01 10:28,2024-09-01 10:46,18,Weather,True,False,Boeing 737,N64829,761
1237664,Delta,7348,ORD,BOS,2024-09-01 00:23,2024-09-01 00:36,2024-09-01 02:23,2024-09-01 02:48,25,Maintenance,False,True,Boeing 737,N78883,361
593744,Delta,1796,ORD,SFO,2024-09-01 23:35,2024-09-01 23:49,2024-09-02 00:35,2024-09-02 00:34,-1,,False,False,Boeing 777,N54263,174
585129,Delta,7995,LAX,MIA,2024-09-01 21:39,2024-09-01 22:04,2024-09-02 00:39,2024-09-02 01:07,28,Weather,True,False,Airbus A320,N66676,303
1623496,Delta,39,JFK,SFO,2024-09-01 12:46,2024-09-01 12:56,2024-09-01 17:46,2024-09-01 18:07,21,Weather,True,False,Airbus A320,N85443,1585
891303,Delta,4833,JFK,BOS,2024-09-01 00:07,2024-09-01 00:21,2024-09-01 04:07,2024-09-01 04:13,6,Weather,False,False,Boeing 777,N88134,649
800993,Delta,489,JFK,BOS,2024-09-01 02:13,2024-09-01 02:26,2024-09-01 07:13,2024-09-01 07:41,28,Air Traffic Control,True,True,Boeing 777,N17079,453
1430623,Delta,8536,LAX,JFK,2024-09-01 23:56,2024-09-02 00:00,2024-09-02 05:56,2024-09-02 06:09,13,Air Traffic Control,True,True,Airbus A320,N71424,256
200650,Delta,2475,LAX,BOS,2024-09-01 10:48,2024-09-01 11:10,2024-09-01 15:48,2024-09-01 15:39,-9,,True,False,Boeing 777,N13735,2237
416211,Delta,6130,ORD,JFK,2024-09-01 14:12,2024-09-01 14:20,2024-09-01 15:12,2024-09-01 15:37,25,Maintenance,True,True,Boeing 737,N98121,1524
453364,Delta,5085,ORD,BOS,2024-09-01 10:25,2024-09-01 10:53,2024-09-01 16:25,2024-09-01 16:51,26,Maintenance,False,False,Boeing 737,N43085,641
612225,Delta,4103,ORD,SEA,2024-09-01 17:52,2024-09-01 17:58,2024-09-01 18:52,2024-09-01 19:04,12,Maintenance,False,False,Boeing 777,N72261,1383
1150061,Delta,8666,DFW,MIA,2024-09-01 15:08,2024-09-01 15:27,2024-09-01 19:08,2024-09-01 19:31,23,Air Traffic Control,True,True,Boeing 737,N76747,2156
1128258,Delta,9749,ORD,MIA,2024-09-01 09:48,2024-09-01 09:51,2024-09-01 14:48,2024-09-01 15:15,27,Air Traffic Control,False,False,Airbus A320,N65727,941
58027,Delta,4760,ATL,SEA,2024-09-01 21:27,2024-09-01 21:39,2024-09-02 02:27,2024-09-02 02:30,3,Air Traffic Control,True,True,Boeing 737,N18214,2423
509636,Delta,8938,JFK,MIA,2024-09-01 19:07,2024-09-01 19:30,2024-09-01 20:07,2024-09-01 20:31,24,Air Traffic Control,True,True,Boeing 737,N46165,1968
5955,Delta,7030,JFK,SEA,2024-09-01 19:04,2024-09-01 19:21,2024-09-01 23:04,2024-09-01 23:01,-3,,False,True,Airbus A320,N37985,2727
608410,Delta,644,ATL,JFK,2024-09-01 18:50,2024-09-01 19:17,2024-09-01 23:50,2024-09-02 00:19,29,Maintenance,True,True,Boeing 777,N11858,2148
1341985,Delta,8727,ORD,SFO,2024-09-01 17:24,2024-09-01 17:35,2024-09-01 20:24,2024-09-01 20:23,-1,,True,True,Airbus A320,N64974,873
846808,Delta,6340,ATL,SFO,2024-09-01 03:59,2024-09-01 04:03,2024-09-01 06:59,2024-09-01 06:57,-2,,True,True,Airbus A320,N73111,1819
925190,Delta,5165,DFW,JFK,2024-09-01 23:10,2024-09-01 23:17,2024-09-02 04:10,2024-09-02 04:29,19,Weather,True,False,Airbus A320,N49767,1549
1743105,Delta,2983,ORD,BOS,2024-09-01 01:17,2024-09-01 01:30,2024-09-01 02:17,2024-09-01 02:35,18,Maintenance,True,True,Airbus A320,N12593,875
115751,Delta,5644,ORD,MIA,2024-09-01 12:41,2024-09-01 13:03,2024-09-01 16:41,2024-09-01 16:49,8,Maintenance,True,False,Boeing 737,N95156,287
133896,Delta,5865,ATL,BOS,2024-09-01 17:04,2024-09-01 17:31,2024-09-01 18:04,2024-09-01 18:18,14,Maintenance,False,False,Boeing 777,N71538,2243
53724,Delta,4789,ORD,SFO,2024-09-01 01:45,2024-09-01 02:12,2024-09-01 02:45,2024-09-01 02:41,-4,,False,True,Airbus A320,N99094,2135
853648,Delta,2211,JFK,MIA,2024-09-01 15:12,2024-09-01 15:25,2024-09-01 20:12,2024-09-01 20:04,-8,,False,False,Boeing 777,N92053,2292
396194,Delta,747,DFW,SFO,2024-09-01 08:08,2024-09-01 08:36,2024-09-01 12:08,2024-09-01 12:34,26,Maintenance,False,True,Airbus A320,N92234,1035
982895,Delta,8359,ORD,BOS,2024-09-01 20:57,2024-09-01 21:17,2024-09-02 01:57,2024-09-02 01:56,-1,,False,False,Boeing 777,N90635,1015
537711,Delta,7929,JFK,BOS,2024-09-01 18:21,2024-09-01 18:37,2024-09-01 19:21,2024-09-01 19:43,22,Air Traffic Control,True,False,Boeing 737,N68250,805
882300,Delta,1513,DFW,SEA,2024-09-01 00:29,2024-09-01 00:59,2024-09-01 01:29,2024-09-01 01:33,4,Air Traffic Control,True,True,Boeing 777,N45132,2285
1702117,Delta,867,DFW,MIA,2024-09-01 09:34,2024-09-01 10:03,2024-09-01 10:34,2024-09-01 10:36,2,Air Traffic Control,True,False,Boeing 737,N24176,518
820511,Delta,5023,LAX,SEA,2024-09-01 09:34,2024-09-01 09:59,2024-09-01 10:34,2024-09-01 10:50,16,Air Traffic Control,True,True,Boeing 737,N38210,2686
351567,Delta,9417,DFW,SEA,2024-09-01 23:15,2024-09-01 23:44,2024-09-02 05:15,2024-09-02 05:10,-5,,False,True,Boeing 737,N96821,1223
886062,Delta,3108,JFK,SFO,2024-09-01 01:52,2024-09-01 02:09,2024-09-01 06:52,2024-09-01 07:21,29,Weather,True,False,Boeing 777,N89319,2929
961020,Delta,510,ATL,SEA,2024-09-01 22:50,2024-09-01 23:07,2024-09-01 23:50,2024-09-02 00:14,24,Weather,True,False,Boeing 737,N10231,2102
169653,Delta,7118,LAX,JFK,2024-09-01 09:12,2024-09-01 09:25,2024-09-01 14:12,2024-09-01 14:15,3,Weather,False,False,Boeing 737,N48143,1602
1016202,Delta,6292,LAX,SFO,2024-09-01 05:01,2024-09-01 05:02,2024-09-01 07:01,2024-09-01 07:20,19,Weather,True,True,Airbus A320,N54669,439
1420869,Delta,9057,JFK,SFO,2024-09-01 22:44,2024-09-01 22:49,2024-09-02 00:44,2024-09-02 00:52,8,Weather,False,False,Boeing 737,N73398,2766
1329172,Delta,6475,LAX,MIA,2024-09-01 18:55,2024-09-01 19:24,2024-09-01 21:55,2024-09-01 22:15,20,Weather,False,True,Boeing 737,N10105,933
1637549,Delta,7770,DFW,BOS,2024-09-01 23:21,2024-09-01 23:48,2024-09-02 01:21,2024-09-02 01:40,19,Air Traffic Control,True,True,Boeing 777,N98801,1850
585908,Delta,5240,DFW,JFK,2024-09-01 17:39,2024-09-01 18:07,2024-09-01 23:39,2024-09-01 23:46,7,Maintenance,False,True,Boeing 737,N14666,2400
9335,Delta,1844,DFW,MIA,2024-09-01 19:41,2024-09-01 19:51,2024-09-01 20:41,2024-09-01 21:08,27,Maintenance,True,False,Boeing 777,N86243,2366
54602,Delta,9810,DFW,JFK,2024-09-01 23:03,2024-09-01 23:23,2024-09-02 02:03,2024-09-02 02:09,6,Air Traffic Control,False,False,Boeing 777,N73592,2609
1413646,Delta,2547,ATL,BOS,2024-09-01 11:15,2024-09-01 11:19,2024-09-01 14:15,2024-09-01 14:37,22,Air Traffic Control,False,True,Airbus A320,N56404,1414
1304017,Delta,4695,DFW,JFK,2024-09-01 19:01,2024-09-01 19:24,2024-09-01 20:01,2024-09-01 20:28,27,Air Traffic Control,False,True,Boeing 737,N65664,1776
267464,Delta,7901,ORD,SFO,2024-09-01 01:49,2024-09-01 01:50,2024-09-01 02:49,2024-09-01 02:41,-8,,True,True,Boeing 777,N37338,2590
555363,Delta,3200,DFW,JFK,2024-09-01 00:43,2024-09-01 00:52,2024-09-01 05:43,2024-09-01 05:52,9,Maintenance,False,False,Airbus A320,N49115,890
1212395,Delta,8999,ATL,BOS,2024-09-01 09:10,2024-09-01 09:21,2024-09-01 13:10,2024-09-01 13:07,-3,,True,False,Boeing 777,N62782,556
558746,Delta,4578,DFW,BOS,2024-09-01 14:24,2024-09-01 14:53,2024-09-01 20:24,2024-09-01 20:29,5,Weather,False,False,Airbus A320,N82439,548
1314366,Delta,9067,ORD,SFO,2024-09-01 22:18,2024-09-01 22:38,2024-09-02 01:18,2024-09-02 01:26,8,Maintenance,True,False,Airbus A320,N25297,1935
1533154,Delta,5770,ATL,JFK,2024-09-01 04:01,2024-09-01 04:30,2024-09-01 10:01,2024-09-01 10:18,17,Weather,True,False,Boeing 737,N23919,1002
1089253,Delta,8964,ATL,SFO,2024-09-01 07:58,2024-09-01 08:24,2024-09-01 12:58,2024-09-01 12:48,-10,,False,False,Boeing 777,N76744,2918
113925,Delta,4321,LAX,MIA,2024-09-01 07:31,2024-09-01 07:57,2024-09-01 11:31,2024-09-01 11:21,-10,,False,False,Boeing 777,N68012,1444
1569191,Delta,9520,LAX,SEA,2024-09-01 00:07,2024-09-01 00:24,2024-09-01 06:07,2024-09-01 06:05,-2,,False,True,Boeing 737,N45227,1478
224402,Delta,6241,JFK,SEA,2024-09-01 04:32,2024-09-01 04:33,2024-09-01 05:32,2024-09-01 05:42,10,Maintenance,True,True,Boeing 777,N59323,1409
779414,Delta,1421,DFW,JFK,2024-09-01 08:06,2024-09-01 08:22,2024-09-01 11:06,2024-09-01 11:09,3,Air Traffic Control,False,True,Airbus A320,N27284,528
919190,Delta,3451,ATL,SEA,2024-09-01 15:09,2024-09-01 15:14,2024-09-01 20:09,2024-09-01 20:04,-5,,False,True,Boeing 737,N49888,593
234889,Delta,3971,JFK,MIA,2024-09-01 18:21,2024-09-01 18:33,2024-09-01 20:21,2024-09-01 20:46,25,Air Traffic Control,False,False,Boeing 777,N81985,2576
827329,Delta,5633,ATL,MIA,2024-09-01 18:29,2024-09-01 18:38,2024-09-01 19:29,2024-09-01 19:32,3,Maintenance,True,True,Boeing 777,N69554,1719
1534493,Delta,5884,LAX,JFK,2024-09-01 20:37,2024-09-01 21:05,2024-09-01 23:37,2024-09-01 23:53,16,Air Traffic Control,False,True,Boeing 777,N46521,480
505597,Delta,8183,DFW,MIA,2024-09-01 06:50,2024-09-01 06:53,2024-09-01 08:50,2024-09-01 09:08,18,Air Traffic Control,True,True,Boeing 777,N99841,1348
940993,Delta,1423,LAX,MIA,2024-09-01 23:35,2024-09-02 00:05,2024-09-02 05:35,2024-09-02 05:53,18,Maintenance,True,False,Airbus A320,N67409,1036
522523,Delta,5901,DFW,SEA,2024-09-01 23:04,2024-09-01 23:27,2024-09-02 04:04,2024-09-02 04:06,2,Maintenance,False,True,Boeing 737,N44802,2597
1082882,Delta,168,DFW,SEA,2024-09-01 12:51,2024-09-01 13:06,2024-09-01 16:51,2024-09-01 16:59,8,Weather,False,False,Airbus A320,N72411,641
147232,Delta,6688,DFW,JFK,2024-09-01 16:16,2024-09-01 16:36,2024-09-01 21:16,2024-09-01 21:37,21,Maintenance,True,True,Airbus A320,N45854,1793
1199267,Delta,2750,ATL,SFO,2024-09-01 02:05,2024-09-01 02:34,2024-09-01 03:05,2024-09-01 02:57,-8,,False,False,Boeing 777,N38594,1118
610456,Delta,4842,ATL,SEA,2024-09-01 06:28,2024-09-01 06:40,2024-09-01 11:28,2024-09-01 11:32,4,Air Traffic Control,False,False,Boeing 777,N92700,1792
1041629,Delta,3998,ORD,BOS,2024-09-01 16:36,2024-09-01 16:59,2024-09-01 22:36,2024-09-01 22:42,6,Maintenance,True,False,Airbus A320,N90362,1904
969616,Delta,979,JFK,MIA,2024-09-01 13:20,2024-09-01 13:31,2024-09-01 18:20,2024-09-01 18:38,18,Air Traffic Control,True,True,Boeing 777,N48909,1408
215238,Delta,3471,DFW,JFK,2024-09-01 10:00,2024-09-01 10:16,2024-09-01 16:00,2024-09-01 15:51,-9,,False,True,Boeing 777,N85003,777
702403,Delta,6122,ORD,BOS,2024-09-01 01:40,2024-09-01 01:44,2024-09-01 03:40,2024-09-01 04:09,29,Maintenance,True,False,Boeing 737,N56468,1029
1410058,Delta,8097,ORD,MIA,2024-09-01 23:27,2024-09-01 23:38,2024-09-02 04:27,2024-09-02 04:54,27,Air Traffic Control,True,False,Airbus A320,N47476,1345
453477,Delta,2713,ATL,SEA,2024-09-01 23:38,2024-09-01 23:53,2024-09-02 03:38,2024-09-02 04:02,24,Maintenance,True,True,Boeing 737,N58481,2044
1608320,Delta,8555,ORD,BOS,2024-09-01 23:55,2024-09-01 23:59,2024-09-02 04:55,2024-09-02 04:53,-2,,False,True,Boeing 777,N17877,2975
473612,Delta,5308,ATL,MIA,2024-09-01 05:53,2024-09-01 06:20,2024-09-01 06:53,2024-09-01 07:14,21,Air Traffic Control,True,True,Boeing 777,N92863,987
678854,Delta,6081,JFK,SEA,2024-09-01 22:24,2024-09-01 22:24,2024-09-02 03:24,2024-09-02 03:46,22,Maintenance,False,True,Airbus A320,N27756,436
1581378,Delta,220,DFW,SEA,2024-09-01 10:25,2024-09-01 10:54,2024-09-01 16:25,2024-09-01 16:50,25,Maintenance,True,False,Airbus A320,N69884,2023
798087,Delta,6022,ORD,BOS,2024-09-01 15:12,2024-09-01 15:28,2024-09-01 18:12,2024-09-01 18:29,17,Air Traffic Control,True,True,Boeing 777,N39243,332
906976,Delta,3862,ATL,MIA,2024-09-01 07:39,2024-09-01 07:54,2024-09-01 11:39,2024-09-01 11:39,0,,False,True,Boeing 737,N57517,288
42673,Delta,6423,JFK,BOS,2024-09-01 10:43,2024-09-01 11:11,2024-09-01 14:43,2024-09-01 14:53,10,Air Traffic Control,False,False,Airbus A320,N81135,759
962340,Delta,8360,DFW,SEA,2024-09-01 15:52,2024-09-01 16:08,2024-09-01 18:52,2024-09-01 18:52,0,,True,True,Boeing 777,N32713,2126
890314,Delta,778,DFW,MIA,2024-09-01 15:43,2024-09-01 15:55,2024-09-01 17:43,2024-09-01 18:10,27,Maintenance,False,False,Airbus A320,N79587,2787
171529,Delta,138,JFK,SEA,2024-09-01 00:15,2024-09-01 00:24,2024-09-01 06:15,2024-09-01 06:35,20,Maintenance,True,False,Airbus A320,N18381,2369
469486,Delta,8451,LAX,JFK,2024-09-01 16:30,2024-09-01 16:42,2024-09-01 17:30,2024-09-01 17:31,1,Weather,True,False,Boeing 737,N70038,2972
233647,Delta,3017,ORD,BOS,2024-09-01 11:37,2024-09-01 11:40,2024-09-01 17:37,2024-09-01 17:42,5,Maintenance,False,True,Boeing 777,N52336,517
1638914,Delta,4435,ORD,SEA,2024-09-01 14:12,2024-09-01 14:42,2024-09-01 18:12,2024-09-01 18:18,6,Air Traffic Control,True,False,Boeing 777,N13963,1256
119050,Delta,5307,ORD,SFO,2024-09-01 00:09,2024-09-01 00:34,2024-09-01 05:09,2024-09-01 05:15,6,Maintenance,False,True,Airbus A320,N66671,100
749309,Delta,5024,LAX,MIA,2024-09-01 04:34,2024-09-01 05:00,2024-09-01 06:34,2024-09-01 06:40,6,Weather,True,False,Boeing 777,N28409,981
1459562,Delta,3489,JFK,SEA,2024-09-01 17:41,2024-09-01 17:53,2024-09-01 21:41,2024-09-01 21:47,6,Weather,False,False,Boeing 777,N35180,2416
1454257,Delta,41,ORD,JFK,2024-09-01 23:11,2024-09-01 23:34,2024-09-02 05:11,2024-09-02 05:24,13,Maintenance,False,True,Boeing 737,N55348,680
1679094,Delta,558,JFK,SFO,2024-09-01 22:13,2024-09-01 22:33,2024-09-02 01:13,2024-09-02 01:20,7,Weather,False,True,Airbus A320,N38710,2536
604435,Delta,3262,LAX,SFO,2024-09-01 22:44,2024-09-01 23:00,2024-09-02 01:44,2024-09-02 01:51,7,Maintenance,True,False,Boeing 737,N91995,1789
324803,Delta,2995,JFK,SEA,2024-09-01 17:00,2024-09-01 17:05,2024-09-01 19:00,2024-09-01 19:09,9,Weather,True,True,Boeing 777,N68661,709
30161,Delta,9402,JFK,SFO,2024-09-01 16:20,2024-09-01 16:30,2024-09-01 18:20,2024-09-01 18:41,21,Weather,True,True,Airbus A320,N77268,877
526066,Delta,258,ATL,SFO,2024-09-01 22:52,2024-09-01 22:53,2024-09-02 02:52,2024-09-02 02:58,6,Weather,False,True,Boeing 737,N74462,2766
1257003,Delta,2793,JFK,MIA,2024-09-01 05:12,2024-09-01 05:36,2024-09-01 07:12,2024-09-01 07:20,8,Maintenance,False,False,Boeing 777,N56674,1355
1347584,Delta,4355,ORD,JFK,2024-09-01 01:17,2024-09-01 01:22,2024-09-01 05:17,2024-09-01 05:21,4,Maintenance,True,True,Boeing 777,N38470,475
255153,Delta,3861,ATL,BOS,2024-09-01 11:55,2024-09-01 12:05,2024-09-01 12:55,2024-09-01 13:03,8,Weather,True,False,Boeing 737,N64292,1716
413265,Delta,4437,LAX,BOS,2024-09-01 23:43,2024-09-02 00:00,2024-09-02 05:43,2024-09-02 06:12,29,Maintenance,True,False,Boeing 777,N89453,612
838981,Delta,2826,DFW,SFO,2024-09-01 08:17,2024-09-01 08:34,2024-09-01 14:17,2024-09-01 14:42,25,Air Traffic Control,False,False,Boeing 777,N64029,318
993035,Delta,8911,ORD,JFK,2024-09-01 09:52,2024-09-01 10:18,2024-09-01 11:52,2024-09-01 12:17,25,Weather,True,True,Boeing 777,N60007,2936
